Frequent set: { El Salvador Aid }, support: 0.49
Frequent set: { Not Aid to Nicaraguan Contras }, support: 0.41
Frequent set: { Not MX Missile }, support: 0.47
Frequent set: { Export Administration Act South Africa }, support: 0.62
Frequent set: { Not Superfund Right to Sue }, support: 0.46
Frequent set: { Water Project Cost Sharing }, support: 0.45
Frequent set: { Democrat }, support: 0.61
Frequent set: { Physician Fee Freeze }, support: 0.41
Frequent set: { Handicapped Infants }, support: 0.43
Frequent set: { Republican }, support: 0.39
Frequent set: { Not Religious Groups in Schools }, support: 0.35
Frequent set: { Not Immigration }, support: 0.49
Frequent set: { Not Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Not El Salvador Aid }, support: 0.48
Frequent set: { Religious Groups in Schools }, support: 0.63
Frequent set: { MX Missile }, support: 0.48
Frequent set: { Not Synfuel Corporatino Cutback }, support: 0.61
Frequent set: { Not Anty Satellite Test Band }, support: 0.42
Frequent set: { Not Duty Free Exports }, support: 0.54
Frequent set: { Crime }, support: 0.57
Frequent set: { Duty Free Exports }, support: 0.40
Frequent set: { Not Handicapped Infants }, support: 0.54
Frequent set: { Synfuels Corporation Cutback }, support: 0.34
Frequent set: { Not Crime }, support: 0.39
Frequent set: { Aid to Nicaraguan Contras }, support: 0.56
Frequent set: { Not Physician Fee Freeze }, support: 0.57
Frequent set: { Immigration }, support: 0.50
Frequent set: { Education Spending }, support: 0.93
Frequent set: { Superfund Right to Sue }, support: 0.48
Frequent set: { Not Water Project Cost Sharing }, support: 0.44
Frequent set: { Adoption of the Budget Resolution }, support: 0.58
Frequent set: { Anti Satellite Test Band }, support: 0.55
Frequent set: { Religious Groups in Schools, Physician Fee Freeze }, support: 0.37
Frequent set: { Not Duty Free Exports, El Salvador Aid }, support: 0.39
Frequent set: { Not Superfund Right to Sue, Adoption of the Budget Resolution }, support: 0.40
Frequent set: { Anti Satellite Test Band, Handicapped Infants }, support: 0.32
Frequent set: { Education Spending, Not Handicapped Infants }, support: 0.51
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue }, support: 0.37
Frequent set: { Not Water Project Cost Sharing, Export Administration Act South Africa }, support: 0.30
Frequent set: { Not El Salvador Aid, Export Administration Act South Africa }, support: 0.33
Frequent set: { Handicapped Infants, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { MX Missile, Not Superfund Right to Sue }, support: 0.34
Frequent set: { Aid to Nicaraguan Contras, Not Crime }, support: 0.37
Frequent set: { Education Spending, Not MX Missile }, support: 0.44
Frequent set: { MX Missile, Democrat }, support: 0.43
Frequent set: { Democrat, Duty Free Exports }, support: 0.37
Frequent set: { Handicapped Infants, Democrat }, support: 0.36
Frequent set: { Religious Groups in Schools, Crime }, support: 0.49
Frequent set: { Not Handicapped Infants, Not MX Missile }, support: 0.35
Frequent set: { Not Handicapped Infants, Not Synfuel Corporatino Cutback }, support: 0.36
Frequent set: { Anti Satellite Test Band, Not Religious Groups in Schools }, support: 0.32
Frequent set: { MX Missile, Adoption of the Budget Resolution }, support: 0.41
Frequent set: { Aid to Nicaraguan Contras, Not Religious Groups in Schools }, support: 0.33
Frequent set: { Education Spending, Not Synfuel Corporatino Cutback }, support: 0.58
Frequent set: { Not Duty Free Exports, Education Spending }, support: 0.51
Frequent set: { Not Handicapped Infants, Superfund Right to Sue }, support: 0.34
Frequent set: { Religious Groups in Schools, Not Handicapped Infants }, support: 0.44
Frequent set: { Not Handicapped Infants, El Salvador Aid }, support: 0.36
Frequent set: { Aid to Nicaraguan Contras, Not Superfund Right to Sue }, support: 0.40
Frequent set: { Not Physician Fee Freeze, Export Administration Act South Africa }, support: 0.38
Frequent set: { Aid to Nicaraguan Contras, Democrat }, support: 0.50
Frequent set: { Synfuels Corporation Cutback, Education Spending }, support: 0.32
Frequent set: { Superfund Right to Sue, Not Anty Satellite Test Band }, support: 0.34
Frequent set: { Not Duty Free Exports, Republican }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze }, support: 0.41
Frequent set: { Republican, Crime }, support: 0.36
Frequent set: { Republican, Not MX Missile }, support: 0.34
Frequent set: { Crime, Not Synfuel Corporatino Cutback }, support: 0.38
Frequent set: { El Salvador Aid, Not Anty Satellite Test Band }, support: 0.37
Frequent set: { Not Duty Free Exports, Not MX Missile }, support: 0.37
Frequent set: { Not Duty Free Exports, Not Aid to Nicaraguan Contras }, support: 0.35
Frequent set: { Crime, Not Anty Satellite Test Band }, support: 0.36
Frequent set: { Aid to Nicaraguan Contras, Adoption of the Budget Resolution }, support: 0.49
Frequent set: { Not Duty Free Exports, Not Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Handicapped Infants, Not Physician Fee Freeze }, support: 0.34
Frequent set: { Not Physician Fee Freeze, Duty Free Exports }, support: 0.36
Frequent set: { Education Spending, Duty Free Exports }, support: 0.37
Frequent set: { Not Water Project Cost Sharing, Education Spending }, support: 0.42
Frequent set: { MX Missile, Anti Satellite Test Band }, support: 0.42
Frequent set: { Not Duty Free Exports, Export Administration Act South Africa }, support: 0.32
Frequent set: { Not Duty Free Exports, Not Handicapped Infants }, support: 0.34
Frequent set: { Not El Salvador Aid, Anti Satellite Test Band }, support: 0.43
Frequent set: { Not Superfund Right to Sue, Democrat }, support: 0.41
Frequent set: { Adoption of the Budget Resolution, Duty Free Exports }, support: 0.35
Frequent set: { Not El Salvador Aid, Aid to Nicaraguan Contras }, support: 0.47
Frequent set: { Religious Groups in Schools, Not Anty Satellite Test Band }, support: 0.39
Frequent set: { Not Handicapped Infants, Crime }, support: 0.40
Frequent set: { Education Spending, Not Religious Groups in Schools }, support: 0.33
Frequent set: { Not Physician Fee Freeze, Democrat }, support: 0.56
Frequent set: { MX Missile, Aid to Nicaraguan Contras }, support: 0.44
Frequent set: { Not Duty Free Exports, Superfund Right to Sue }, support: 0.38
Frequent set: { Export Administration Act South Africa, Not Synfuel Corporatino Cutback }, support: 0.38
Frequent set: { Not Adoption of the Budget Resolution, Crime }, support: 0.36
Frequent set: { Education Spending, Not Physician Fee Freeze }, support: 0.53
Frequent set: { Not MX Missile, Crime }, support: 0.40
Frequent set: { Not MX Missile, Not Anty Satellite Test Band }, support: 0.36
Frequent set: { Adoption of the Budget Resolution, Democrat }, support: 0.53
Frequent set: { Not Crime, Democrat }, support: 0.38
Frequent set: { Education Spending, Physician Fee Freeze }, support: 0.38
Frequent set: { Physician Fee Freeze, Not Aid to Nicaraguan Contras }, support: 0.33
Frequent set: { Anti Satellite Test Band, Democrat }, support: 0.46
Frequent set: { Not Adoption of the Budget Resolution, Superfund Right to Sue }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Handicapped Infants }, support: 0.34
Frequent set: { Not Adoption of the Budget Resolution, Republican }, support: 0.33
Frequent set: { Not Duty Free Exports, Not Anty Satellite Test Band }, support: 0.34
Frequent set: { Religious Groups in Schools, Not Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Superfund Right to Sue, Crime }, support: 0.41
Frequent set: { Republican, El Salvador Aid }, support: 0.36
Frequent set: { Not El Salvador Aid, Adoption of the Budget Resolution }, support: 0.43
Frequent set: { Physician Fee Freeze, Superfund Right to Sue }, support: 0.33
Frequent set: { Adoption of the Budget Resolution, Not Religious Groups in Schools }, support: 0.30
Frequent set: { El Salvador Aid, Crime }, support: 0.45
Frequent set: { Not Superfund Right to Sue, Export Administration Act South Africa }, support: 0.32
Frequent set: { Not Aid to Nicaraguan Contras, Not Anty Satellite Test Band }, support: 0.34
Frequent set: { Religious Groups in Schools, Education Spending }, support: 0.59
Frequent set: { Not El Salvador Aid, Not Religious Groups in Schools }, support: 0.31
Frequent set: { Republican, Education Spending }, support: 0.36
Frequent set: { Aid to Nicaraguan Contras, Education Spending }, support: 0.52
Frequent set: { Physician Fee Freeze, Crime }, support: 0.39
Frequent set: { Not MX Missile, Physician Fee Freeze }, support: 0.35
Frequent set: { Education Spending, Democrat }, support: 0.57
Frequent set: { Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.46
Frequent set: { Not Handicapped Infants, Export Administration Act South Africa }, support: 0.34
Frequent set: { Adoption of the Budget Resolution, Not Crime }, support: 0.36
Frequent set: { Adoption of the Budget Resolution, Export Administration Act South Africa }, support: 0.40
Frequent set: { Not Adoption of the Budget Resolution, Not Aid to Nicaraguan Contras }, support: 0.32
Frequent set: { El Salvador Aid, Not Synfuel Corporatino Cutback }, support: 0.33
Frequent set: { Not MX Missile, Not Synfuel Corporatino Cutback }, support: 0.30
Frequent set: { Immigration, Crime }, support: 0.31
Frequent set: { Not MX Missile, Not Aid to Nicaraguan Contras }, support: 0.37
Frequent set: { Superfund Right to Sue, El Salvador Aid }, support: 0.39
Frequent set: { Superfund Right to Sue, Not Synfuel Corporatino Cutback }, support: 0.32
Frequent set: { Republican, Not Handicapped Infants }, support: 0.31
Frequent set: { Anti Satellite Test Band, Export Administration Act South Africa }, support: 0.40
Frequent set: { Not Superfund Right to Sue, Not Crime }, support: 0.31
Frequent set: { Not Duty Free Exports, Not Synfuel Corporatino Cutback }, support: 0.36
Frequent set: { Education Spending, Crime }, support: 0.54
Frequent set: { Education Spending, Immigration }, support: 0.47
Frequent set: { Handicapped Infants, Education Spending }, support: 0.40
Frequent set: { Not Adoption of the Budget Resolution, Not Handicapped Infants }, support: 0.31
Frequent set: { Religious Groups in Schools, Not Aid to Nicaraguan Contras }, support: 0.38
Frequent set: { Religious Groups in Schools, Not MX Missile }, support: 0.43
Frequent set: { Religious Groups in Schools, Immigration }, support: 0.34
Frequent set: { Physician Fee Freeze, El Salvador Aid }, support: 0.39
Frequent set: { Not Water Project Cost Sharing, Not Synfuel Corporatino Cutback }, support: 0.31
Frequent set: { Education Spending, Not Aid to Nicaraguan Contras }, support: 0.39
Frequent set: { Aid to Nicaraguan Contras, Duty Free Exports }, support: 0.35
Frequent set: { Anti Satellite Test Band, Not Crime }, support: 0.34
Frequent set: { Not El Salvador Aid, Democrat }, support: 0.46
Frequent set: { Aid to Nicaraguan Contras, Export Administration Act South Africa }, support: 0.39
Frequent set: { Religious Groups in Schools, Republican }, support: 0.34
Frequent set: { Export Administration Act South Africa, Democrat }, support: 0.40
Frequent set: { Religious Groups in Schools, Not Synfuel Corporatino Cutback }, support: 0.38
Frequent set: { Aid to Nicaraguan Contras, Not Physician Fee Freeze }, support: 0.49
Frequent set: { Republican, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Anti Satellite Test Band, Not Physician Fee Freeze }, support: 0.45
Frequent set: { Not Physician Fee Freeze, Not Religious Groups in Schools }, support: 0.31
Frequent set: { Not Duty Free Exports, Crime }, support: 0.43
Frequent set: { Adoption of the Budget Resolution, Not Synfuel Corporatino Cutback }, support: 0.31
Frequent set: { Adoption of the Budget Resolution, Education Spending }, support: 0.54
Frequent set: { Not Aid to Nicaraguan Contras, Crime }, support: 0.38
Frequent set: { Adoption of the Budget Resolution, Not Physician Fee Freeze }, support: 0.50
Frequent set: { Not Aid to Nicaraguan Contras, El Salvador Aid }, support: 0.40
Frequent set: { Physician Fee Freeze, Not Synfuel Corporatino Cutback }, support: 0.32
Frequent set: { Not El Salvador Aid, Duty Free Exports }, support: 0.32
Frequent set: { Not Handicapped Infants, Not Aid to Nicaraguan Contras }, support: 0.32
Frequent set: { Education Spending, Superfund Right to Sue }, support: 0.46
Frequent set: { Physician Fee Freeze, Not Anty Satellite Test Band }, support: 0.31
Frequent set: { Religious Groups in Schools, Not Duty Free Exports }, support: 0.44
Frequent set: { Republican, Superfund Right to Sue }, support: 0.31
Frequent set: { Republican, Physician Fee Freeze }, support: 0.37
Frequent set: { MX Missile, Export Administration Act South Africa }, support: 0.34
Frequent set: { Export Administration Act South Africa, Immigration }, support: 0.34
Frequent set: { Not Handicapped Infants, Physician Fee Freeze }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Education Spending }, support: 0.43
Frequent set: { Not Adoption of the Budget Resolution, El Salvador Aid }, support: 0.35
Frequent set: { Education Spending, Export Administration Act South Africa }, support: 0.59
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze }, support: 0.45
Frequent set: { Not Handicapped Infants, Not Anty Satellite Test Band }, support: 0.32
Frequent set: { Not El Salvador Aid, Education Spending }, support: 0.45
Frequent set: { Not MX Missile, El Salvador Aid }, support: 0.42
Frequent set: { Not Adoption of the Budget Resolution, Education Spending }, support: 0.37
Frequent set: { Not MX Missile, Superfund Right to Sue }, support: 0.36
Frequent set: { Superfund Right to Sue, Not Aid to Nicaraguan Contras }, support: 0.34
Frequent set: { Anti Satellite Test Band, Not Synfuel Corporatino Cutback }, support: 0.33
Frequent set: { MX Missile, Not Physician Fee Freeze }, support: 0.41
Frequent set: { Anti Satellite Test Band, Not Superfund Right to Sue }, support: 0.39
Frequent set: { Aid to Nicaraguan Contras, Not Synfuel Corporatino Cutback }, support: 0.31
Frequent set: { MX Missile, Education Spending }, support: 0.45
Frequent set: { Education Spending, Not Anty Satellite Test Band }, support: 0.39
Frequent set: { Not Duty Free Exports, Republican, Crime }, support: 0.31
Frequent set: { Not Crime, Not Physician Fee Freeze, Not El Salvador Aid }, support: 0.34
Frequent set: { Physician Fee Freeze, El Salvador Aid, Crime }, support: 0.37
Frequent set: { Not Crime, Education Spending, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Religious Groups in Schools, Superfund Right to Sue, Crime }, support: 0.38
Frequent set: { Not Duty Free Exports, Education Spending, Not Aid to Nicaraguan Contras }, support: 0.33
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.42
Frequent set: { Not Adoption of the Budget Resolution, Republican, Crime }, support: 0.31
Frequent set: { Education Spending, Physician Fee Freeze, Superfund Right to Sue }, support: 0.31
Frequent set: { Anti Satellite Test Band, Not Physician Fee Freeze, Duty Free Exports }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Democrat, Export Administration Act South Africa }, support: 0.38
Frequent set: { Religious Groups in Schools, El Salvador Aid, Not Synfuel Corporatino Cutback }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Democrat }, support: 0.38
Frequent set: { Not Synfuel Corporatino Cutback, Physician Fee Freeze, Crime }, support: 0.31
Frequent set: { Anti Satellite Test Band, Adoption of the Budget Resolution, Democrat }, support: 0.42
Frequent set: { Not El Salvador Aid, Adoption of the Budget Resolution, Not Crime }, support: 0.33
Frequent set: { Aid to Nicaraguan Contras, Not Superfund Right to Sue, MX Missile }, support: 0.33
Frequent set: { Not Crime, Not Physician Fee Freeze, Education Spending }, support: 0.35
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, Democrat }, support: 0.40
Frequent set: { Anti Satellite Test Band, Education Spending, Not Synfuel Corporatino Cutback }, support: 0.31
Frequent set: { Republican, Not MX Missile, Crime }, support: 0.32
Frequent set: { Not Adoption of the Budget Resolution, Not MX Missile, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Education Spending }, support: 0.45
Frequent set: { Not Physician Fee Freeze, Anti Satellite Test Band, Not Crime }, support: 0.34
Frequent set: { Not Handicapped Infants, Physician Fee Freeze, Crime }, support: 0.31
Frequent set: { Anti Satellite Test Band, Not Crime, Democrat }, support: 0.34
Frequent set: { Not Crime, Anti Satellite Test Band, Education Spending }, support: 0.32
Frequent set: { Aid to Nicaraguan Contras, Not Crime, Democrat }, support: 0.37
Frequent set: { Religious Groups in Schools, Physician Fee Freeze, El Salvador Aid }, support: 0.36
Frequent set: { Not Handicapped Infants, Education Spending, Export Administration Act South Africa }, support: 0.32
Frequent set: { Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Democrat }, support: 0.47
Frequent set: { Education Spending, Not Superfund Right to Sue, Adoption of the Budget Resolution }, support: 0.37
Frequent set: { Education Spending, Superfund Right to Sue, Crime }, support: 0.39
Frequent set: { Not Duty Free Exports, Physician Fee Freeze, El Salvador Aid }, support: 0.33
Frequent set: { Handicapped Infants, Not Physician Fee Freeze, Democrat }, support: 0.34
Frequent set: { Not El Salvador Aid, Adoption of the Budget Resolution, Export Administration Act South Africa }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, MX Missile }, support: 0.40
Frequent set: { Not MX Missile, Education Spending, El Salvador Aid }, support: 0.40
Frequent set: { Physician Fee Freeze, Superfund Right to Sue, Crime }, support: 0.32
Frequent set: { Not Duty Free Exports, Education Spending, Not Anty Satellite Test Band }, support: 0.33
Frequent set: { Aid to Nicaraguan Contras, Not Superfund Right to Sue, Adoption of the Budget Resolution }, support: 0.38
Frequent set: { MX Missile, Anti Satellite Test Band, Democrat }, support: 0.38
Frequent set: { Education Spending, Adoption of the Budget Resolution, Democrat }, support: 0.49
Frequent set: { Religious Groups in Schools, Education Spending, Not Anty Satellite Test Band }, support: 0.37
Frequent set: { Religious Groups in Schools, Not Adoption of the Budget Resolution, El Salvador Aid }, support: 0.33
Frequent set: { Handicapped Infants, Adoption of the Budget Resolution, Democrat }, support: 0.33
Frequent set: { Not Adoption of the Budget Resolution, Republican, Education Spending }, support: 0.30
Frequent set: { Not MX Missile, Not Adoption of the Budget Resolution, Education Spending }, support: 0.31
Frequent set: { Republican, Education Spending, Crime }, support: 0.34
Frequent set: { Not Adoption of the Budget Resolution, Education Spending, Not Aid to Nicaraguan Contras }, support: 0.30
Frequent set: { Not El Salvador Aid, Anti Satellite Test Band, Democrat }, support: 0.42
Frequent set: { Republican, Not MX Missile, El Salvador Aid }, support: 0.33
Frequent set: { Not MX Missile, Education Spending, Physician Fee Freeze }, support: 0.33
Frequent set: { Not El Salvador Aid, Education Spending, Duty Free Exports }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, MX Missile }, support: 0.32
Frequent set: { Not Duty Free Exports, Not Adoption of the Budget Resolution, Crime }, support: 0.31
Frequent set: { Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Duty Free Exports }, support: 0.32
Frequent set: { Anti Satellite Test Band, Not Physician Fee Freeze, Export Administration Act South Africa }, support: 0.31
Frequent set: { Education Spending, Immigration, Crime }, support: 0.30
Frequent set: { Not Aid to Nicaraguan Contras, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.34
Frequent set: { Not Adoption of the Budget Resolution, Physician Fee Freeze, El Salvador Aid }, support: 0.32
Frequent set: { Not MX Missile, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.34
Frequent set: { Not Crime, Education Spending, Not El Salvador Aid }, support: 0.33
Frequent set: { Religious Groups in Schools, Not Handicapped Infants, Not Anty Satellite Test Band }, support: 0.30
Frequent set: { Not Crime, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.36
Frequent set: { Religious Groups in Schools, Not Duty Free Exports, El Salvador Aid }, support: 0.37
Frequent set: { Not MX Missile, Superfund Right to Sue, Not Aid to Nicaraguan Contras }, support: 0.32
Frequent set: { Not Duty Free Exports, Education Spending, Crime }, support: 0.41
Frequent set: { Not MX Missile, Physician Fee Freeze, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Religious Groups in Schools, Not Aid to Nicaraguan Contras, Not Anty Satellite Test Band }, support: 0.33
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime }, support: 0.33
Frequent set: { Religious Groups in Schools, Not Handicapped Infants, Education Spending }, support: 0.42
Frequent set: { Republican, El Salvador Aid, Crime }, support: 0.34
Frequent set: { Anti Satellite Test Band, Education Spending, Export Administration Act South Africa }, support: 0.37
Frequent set: { MX Missile, Education Spending, Aid to Nicaraguan Contras }, support: 0.42
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.43
Frequent set: { Education Spending, Physician Fee Freeze, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Education Spending, Not Aid to Nicaraguan Contras, Not Anty Satellite Test Band }, support: 0.32
Frequent set: { Not Adoption of the Budget Resolution, Education Spending, Physician Fee Freeze }, support: 0.31
Frequent set: { Not Duty Free Exports, El Salvador Aid, Crime }, support: 0.37
Frequent set: { Aid to Nicaraguan Contras, Democrat, MX Missile }, support: 0.41
Frequent set: { Not Anty Satellite Test Band, Not MX Missile, Crime }, support: 0.33
Frequent set: { Not Handicapped Infants, Education Spending, El Salvador Aid }, support: 0.34
Frequent set: { Not Adoption of the Budget Resolution, Not MX Missile, Republican }, support: 0.30
Frequent set: { Religious Groups in Schools, Not MX Missile, Physician Fee Freeze }, support: 0.34
Frequent set: { Superfund Right to Sue, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.32
Frequent set: { Not Duty Free Exports, Education Spending, Physician Fee Freeze }, support: 0.32
Frequent set: { Aid to Nicaraguan Contras, Anti Satellite Test Band, Duty Free Exports }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Education Spending, MX Missile }, support: 0.39
Frequent set: { MX Missile, Adoption of the Budget Resolution, Not El Salvador Aid }, support: 0.37
Frequent set: { Not Duty Free Exports, Not Adoption of the Budget Resolution, El Salvador Aid }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Not Superfund Right to Sue, Adoption of the Budget Resolution }, support: 0.37
Frequent set: { Not Duty Free Exports, Education Spending, Export Administration Act South Africa }, support: 0.31
Frequent set: { Republican, Not Adoption of the Budget Resolution, Physician Fee Freeze }, support: 0.32
Frequent set: { Not Crime, Not Superfund Right to Sue, Not Physician Fee Freeze }, support: 0.31
Frequent set: { Religious Groups in Schools, Education Spending, Not Aid to Nicaraguan Contras }, support: 0.36
Frequent set: { Anti Satellite Test Band, Not Physician Fee Freeze, Democrat }, support: 0.45
Frequent set: { Republican, Physician Fee Freeze, Not Aid to Nicaraguan Contras }, support: 0.30
Frequent set: { Aid to Nicaraguan Contras, Not Physician Fee Freeze, Democrat }, support: 0.48
Frequent set: { Religious Groups in Schools, Republican, El Salvador Aid }, support: 0.33
Frequent set: { Not Duty Free Exports, Not Adoption of the Budget Resolution, Education Spending }, support: 0.31
Frequent set: { Anti Satellite Test Band, Education Spending, Democrat }, support: 0.43
Frequent set: { Education Spending, Not Physician Fee Freeze, Duty Free Exports }, support: 0.33
Frequent set: { Anti Satellite Test Band, Education Spending, Duty Free Exports }, support: 0.31
Frequent set: { Education Spending, Immigration, Export Administration Act South Africa }, support: 0.33
Frequent set: { Education Spending, Not Crime, Democrat }, support: 0.36
Frequent set: { Not Duty Free Exports, Physician Fee Freeze, Crime }, support: 0.33
Frequent set: { Not Adoption of the Budget Resolution, El Salvador Aid, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Not El Salvador Aid, Adoption of the Budget Resolution, Democrat }, support: 0.42
Frequent set: { MX Missile, Education Spending, Export Administration Act South Africa }, support: 0.32
Frequent set: { Republican, Physician Fee Freeze, Not Synfuel Corporatino Cutback }, support: 0.31
Frequent set: { Not El Salvador Aid, Education Spending, Export Administration Act South Africa }, support: 0.31
Frequent set: { Religious Groups in Schools, Education Spending, Physician Fee Freeze }, support: 0.34
Frequent set: { Not MX Missile, Education Spending, Not Anty Satellite Test Band }, support: 0.34
Frequent set: { Aid to Nicaraguan Contras, Handicapped Infants, Education Spending }, support: 0.31
Frequent set: { Not Duty Free Exports, Education Spending, Not Synfuel Corporatino Cutback }, support: 0.34
Frequent set: { Religious Groups in Schools, Physician Fee Freeze, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Not Crime, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Religious Groups in Schools, Education Spending, Export Administration Act South Africa }, support: 0.35
Frequent set: { Not Aid to Nicaraguan Contras, El Salvador Aid, Superfund Right to Sue }, support: 0.34
Frequent set: { Not Anty Satellite Test Band, Education Spending, Crime }, support: 0.34
Frequent set: { Religious Groups in Schools, Education Spending, Superfund Right to Sue }, support: 0.41
Frequent set: { Aid to Nicaraguan Contras, Education Spending, Democrat }, support: 0.47
Frequent set: { MX Missile, Democrat, Not El Salvador Aid }, support: 0.39
Frequent set: { Religious Groups in Schools, Not MX Missile, El Salvador Aid }, support: 0.40
Frequent set: { Aid to Nicaraguan Contras, Education Spending, Export Administration Act South Africa }, support: 0.36
Frequent set: { Not El Salvador Aid, Education Spending, Democrat }, support: 0.43
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Education Spending }, support: 0.35
Frequent set: { Not MX Missile, Education Spending, Not Aid to Nicaraguan Contras }, support: 0.35
Frequent set: { Not Handicapped Infants, Superfund Right to Sue, El Salvador Aid }, support: 0.30
Frequent set: { Republican, Not Handicapped Infants, Physician Fee Freeze }, support: 0.30
